problem_id,problem,method,seed,evals,wall_time_s,repair_time_s
bbob-constrained_f009_i02_d05,f009_i02_d05,project,42,40,0.011535299985553138,0.005969300065771677
bbob-constrained_f009_i02_d05,f009_i02_d05,reject,42,504,3.6454099000111455,3.512257700029295
bbob-constrained_f009_i02_d05,f009_i02_d05,penalty,42,504,0.078039500003797,0.00034889990638475865
bbob-constrained_f009_i03_d05,f009_i03_d05,project,42,504,0.17968269999255426,0.11490100021183025
bbob-constrained_f009_i03_d05,f009_i03_d05,reject,42,504,1.3064081000047736,1.217913300046348
bbob-constrained_f009_i03_d05,f009_i03_d05,penalty,42,504,0.07785460000741296,0.0003974998544435948
bbob-constrained_f010_i01_d05,f010_i01_d05,project,42,504,0.16668460000073537,0.10397190005460288
bbob-constrained_f010_i01_d05,f010_i01_d05,reject,42,504,3.630048600010923,3.4995198000542587
bbob-constrained_f010_i01_d05,f010_i01_d05,penalty,42,504,0.08812190000026021,0.0004045999376103282
bbob-constrained_f010_i02_d05,f010_i02_d05,project,42,504,0.19970500000636093,0.12236919997667428
bbob-constrained_f010_i02_d05,f010_i02_d05,reject,42,504,3.634155699997791,3.507264299696544
bbob-constrained_f010_i02_d05,f010_i02_d05,penalty,42,504,0.08225099999981467,0.0003797000535996631
bbob-constrained_f010_i03_d05,f010_i03_d05,project,42,56,0.01686669999617152,0.009820499981287867
bbob-constrained_f010_i03_d05,f010_i03_d05,reject,42,504,2.2346286000101827,2.1262622999056475
bbob-constrained_f010_i03_d05,f010_i03_d05,penalty,42,504,0.0767271999939112,0.0003903002943843603
bbob-constrained_f011_i01_d05,f011_i01_d05,project,42,40,0.012993700001970865,0.007027700048638508
bbob-constrained_f011_i01_d05,f011_i01_d05,reject,42,504,3.8777529999933904,3.73902719974285
bbob-constrained_f011_i01_d05,f011_i01_d05,penalty,42,504,0.08288099999481346,0.0003623997181421146
bbob-constrained_f011_i02_d05,f011_i02_d05,project,42,80,0.027225400001043454,0.015850700016017072
bbob-constrained_f011_i02_d05,f011_i02_d05,reject,42,504,3.4379930999857606,3.3094569001405034
bbob-constrained_f011_i02_d05,f011_i02_d05,penalty,42,504,0.08771920000435784,0.00037240014353301376
bbob-constrained_f011_i03_d05,f011_i03_d05,project,42,504,0.25679490000766236,0.17973130001337267
bbob-constrained_f011_i03_d05,f011_i03_d05,reject,42,504,1.7225265999877593,1.6269469999242574
bbob-constrained_f011_i03_d05,f011_i03_d05,penalty,42,504,0.07980969999334775,0.00037059991154819727
bbob-constrained_f012_i01_d05,f012_i01_d05,project,42,504,0.17003890000341926,0.10060300002805889
bbob-constrained_f012_i01_d05,f012_i01_d05,reject,42,504,3.195968800006085,3.0678744998876937
bbob-constrained_f012_i01_d05,f012_i01_d05,penalty,42,504,0.08847209998930339,0.0003744999849004671
bbob-constrained_f012_i02_d05,f012_i02_d05,project,42,232,0.0802148000075249,0.048975099925883114
bbob-constrained_f012_i02_d05,f012_i02_d05,reject,42,504,4.0345835000043735,3.897660200120299
bbob-constrained_f012_i02_d05,f012_i02_d05,penalty,42,504,0.08858229999896139,0.0003646000841399655
bbob-constrained_f012_i03_d05,f012_i03_d05,project,42,504,0.18512119998922572,0.11589809981524013
bbob-constrained_f012_i03_d05,f012_i03_d05,reject,42,504,4.343573899997864,4.177940300083719
bbob-constrained_f012_i03_d05,f012_i03_d05,penalty,42,504,0.08701439999276772,0.00036249999538995326
bbob-constrained_f013_i01_d05,f013_i01_d05,project,42,504,0.12994319999415893,0.06677210022462532
bbob-constrained_f013_i01_d05,f013_i01_d05,reject,42,504,0.0924040999962017,0.03403769969008863
bbob-constrained_f013_i01_d05,f013_i01_d05,penalty,42,504,0.07204039998759981,0.0003499997255858034
bbob-constrained_f013_i02_d05,f013_i02_d05,project,42,504,0.12102819999563508,0.06227590003982186
bbob-constrained_f013_i02_d05,f013_i02_d05,reject,42,504,0.0966362999897683,0.037532400150666945
bbob-constrained_f013_i02_d05,f013_i02_d05,penalty,42,504,0.07139349999488331,0.0003559001488611102
bbob-constrained_f013_i03_d05,f013_i03_d05,project,42,504,0.13062039999931585,0.06867420001071878
bbob-constrained_f013_i03_d05,f013_i03_d05,reject,42,504,0.11871719999180641,0.04438379989005625
bbob-constrained_f013_i03_d05,f013_i03_d05,penalty,42,504,0.08240729999670293,0.0003785997541854158
bbob-constrained_f014_i01_d05,f014_i01_d05,project,42,504,0.15783389999705832,0.09554230007051956
bbob-constrained_f014_i01_d05,f014_i01_d05,reject,42,504,1.0262167000037152,0.9295964999473654
bbob-constrained_f014_i01_d05,f014_i01_d05,penalty,42,504,0.08097690000431612,0.0004043998778797686
bbob-constrained_f014_i02_d05,f014_i02_d05,project,42,504,0.17414420000568498,0.10767919999489095
bbob-constrained_f014_i02_d05,f014_i02_d05,reject,42,504,0.4044982000050368,0.33220739987154957
bbob-constrained_f014_i02_d05,f014_i02_d05,penalty,42,504,0.08013039999059401,0.00037109997356310487
bbob-constrained_f014_i03_d05,f014_i03_d05,project,42,400,0.13801199999579694,0.08345139997254591
bbob-constrained_f014_i03_d05,f014_i03_d05,reject,42,504,1.4797345999977551,1.385417499957839
bbob-constrained_f014_i03_d05,f014_i03_d05,penalty,42,504,0.08572189998812973,0.0003876999981002882
bbob-constrained_f015_i01_d05,f015_i01_d05,project,42,504,0.18941979999362957,0.11963699996704236
bbob-constrained_f015_i01_d05,f015_i01_d05,reject,42,504,2.9186275000101887,2.7933670000347774
bbob-constrained_f015_i01_d05,f015_i01_d05,penalty,42,504,0.07665560000168625,0.00035980012034997344
bbob-constrained_f015_i02_d05,f015_i02_d05,project,42,504,0.15552230000321288,0.09398729995882604
bbob-constrained_f015_i02_d05,f015_i02_d05,reject,42,504,1.069636799991713,0.9842899999930523
bbob-constrained_f015_i02_d05,f015_i02_d05,penalty,42,504,0.07395089999772608,0.000355300260707736
bbob-constrained_f015_i03_d05,f015_i03_d05,project,42,504,0.16972679999889806,0.10816130015882663
bbob-constrained_f015_i03_d05,f015_i03_d05,reject,42,504,0.9436137000011513,0.8579030997934751
bbob-constrained_f015_i03_d05,f015_i03_d05,penalty,42,504,0.07504080000217073,0.0003586001257644966
bbob-constrained_f016_i01_d05,f016_i01_d05,project,42,504,0.1709911999932956,0.10751379985595122
bbob-constrained_f016_i01_d05,f016_i01_d05,reject,42,504,2.8459847000049194,2.724301599926548
bbob-constrained_f016_i01_d05,f016_i01_d05,penalty,42,504,0.07505719999608118,0.00034749995393212885
bbob-constrained_f016_i02_d05,f016_i02_d05,project,42,504,0.14933770000061486,0.08923259994480759
bbob-constrained_f016_i02_d05,f016_i02_d05,reject,42,504,2.8113126999960514,2.6922702000738354
bbob-constrained_f016_i02_d05,f016_i02_d05,penalty,42,504,0.08242099999915808,0.00037519997567869723
bbob-constrained_f016_i03_d05,f016_i03_d05,project,42,504,0.1694576000008965,0.10756260027119424
bbob-constrained_f016_i03_d05,f016_i03_d05,reject,42,504,2.8878439999971306,2.770233399933204
bbob-constrained_f016_i03_d05,f016_i03_d05,penalty,42,504,0.07374350000463892,0.0003473001270322129
bbob-constrained_f017_i01_d05,f017_i01_d05,project,42,504,0.16994870000053197,0.100985299970489
bbob-constrained_f017_i01_d05,f017_i01_d05,reject,42,504,1.3827298999967752,1.2967491997405887
bbob-constrained_f017_i01_d05,f017_i01_d05,penalty,42,504,0.08112139999866486,0.0003804000443778932
bbob-constrained_f017_i02_d05,f017_i02_d05,project,42,504,0.17016069999954198,0.10545729991281405
bbob-constrained_f017_i02_d05,f017_i02_d05,reject,42,504,2.948258499993244,2.824122799982433
bbob-constrained_f017_i02_d05,f017_i02_d05,penalty,42,504,0.08084009999583941,0.0003696000203490257
bbob-constrained_f017_i03_d05,f017_i03_d05,project,42,504,0.17209959999308921,0.11208590024034493
bbob-constrained_f017_i03_d05,f017_i03_d05,reject,42,504,0.8450173000019277,0.7687284998683026
bbob-constrained_f017_i03_d05,f017_i03_d05,penalty,42,504,0.07531369999924209,0.00035190011840313673
bbob-constrained_f018_i01_d05,f018_i01_d05,project,42,504,0.181935100001283,0.1099447998276446
bbob-constrained_f018_i01_d05,f018_i01_d05,reject,42,504,2.9728418000013335,2.8492645001388155
bbob-constrained_f018_i01_d05,f018_i01_d05,penalty,42,504,0.07914329999766778,0.0003623000666266307
